Laptop,Status,Brand,Model,CPU,RAM,Storage,GPU,Screen,Touch,Final Price
"HP EliteBook 650 G9 Intel Core i7-1255U/8GB/512GB SSD/15.6""",Refurbished,HP,EliteBook,Intel Core i7,8,512,INTEL,15.6,No,1254.05
DellInspiron 5368Full HD / Touchscreen 1920x1080,New,Dell,Inspiron 5368,Intel Core i5,8GB,1TB HDD,INTEL,13.3,Yes,694.4300000000001
"HP Victus 15-fa0053ns Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",New,HP,Victus,Intel Core i5,16,512,RTX 3050,15.6,No,899.01
DellVostro 35681366x768,New,Dell,Vostro 3568,Intel Core i3,4GB,128GB SSD,INTEL,15.6,No,585.2900000000001
AsusX553SA-XX021T (N3050/4GB/500GB/W10)1366x768,New,Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Intel Celeron,4GB,500GB HDD,INTEL,15.6,No,394.83
"MSI Modern 14 C12M-017XES Intel Core i7-1255U/16GB/512GB SSD/14""",New,MSI,Modern,Intel Core i7,16,512,,14,No,999
"ASUS ROG Strix G16 G614JI-N4007 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4070/16""",New,Asus,ROG,Intel Core i9,32,1000,RTX 4070,16,No,2459.01
HP Laptop,New,HP,Notebook,Intel Core i3,8,256,INTEL,15.6,No,685
"Razer Blade 15 Advanced Model FHD Intel Core i7-10875H/32GB/1TB SSD/RTX 3080/15.6""",Refurbished,Razer,Blade,Intel Core i7,32,1000,RTX 3080,15.6,No,1648.14
"Lenovo ThinkPad T14 Gen 1 AMD Ryzen 7 PRO 4750U/16GB/512GB SSD/14""",Refurbished,Lenovo,ThinkPad,AMD Ryzen 7,16,512,INTEL,14,No,1239.26
"Microsoft Surface Laptop 5 Alcántara Intel Evo Core i5-1245U/8GB/256GB SSD/13.5"" Táctil",New,Microsoft,Surface Laptop,Intel Evo Core i5,8,256,,13.5,Yes,1321.47
"ASUS ZenBook Flip 13 OLED UX363EA-HP931W Intel Core i7-1165G7/16GB/512GB SSD/13.3"" Táctil",New,Asus,ZenBook,Intel Core i7,16,512,INTEL,13.3,Yes,1238.18
"Lenovo ThinkPad L14 Gen 3 Intel Core i5-1235U/16GB/512GB SSD/14""",New,Lenovo,ThinkPad,Intel Core i5,16,512,,14,No,1282
DellPrecision 5520IPS Panel Full HD 1920x1080,New,Dell,Precision 5520,Intel Core i7,8GB,256GB SSD,OTHER,15.6,No,2284.4500000000003
ToshibaPortege X20W-D-10VFull HD / Touchscreen 1920x1080,New,Toshiba,Portege X20W-D-10V,Intel Core i7,8GB,512GB SSD,INTEL,12.5,Yes,915.3
"MSI Stealth GS66 12UHS-006ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3080Ti/15.6""",Refurbished,MSI,Stealth,Intel Core i7,32,1000,RTX 3080,15.6,No,3699
"Toshiba Tecra A40-J-15b Intel Core i3-1125G4/8GB/256GB SSD/14""",New,Toshiba,Tecra,Intel Core i3,8,256,INTEL,14,No,799
HP17-X047na (i3-6006U/8GB/1TB/W10)1600x900,New,HP,17-X047na (i3-6006U/8GB/1TB/W10),Intel Core i3,8GB,1TB HDD,INTEL,17.3,No,582.2405
"MSI Raider GE68HX 13VF-044ES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,Raider,Intel Core i9,32,1000,RTX 4060,16,No,2899
"HP 15S-EQ1161NS AMD Athlon Silver 3050U/8GB/256GB SSD/15.6""",New,HP,15S,AMD Athlon,8,256,,15.6,No,377
"Lenovo Yoga 9 14ITL5 Intel Evo Core i7-1185G7/16 GB/1TB SSD/14"" Táctil",Refurbished,Lenovo,Yoga,Intel Evo Core i7,16,1000,,14,Yes,1599
"HP OMEN 15-EN0004NS AMD Ryzen 7 4800H/16GB/1TB SSD/RTX 2060/15.6""",Refurbished,HP,Omen,AMD Ryzen 7,16,1000,RTX 2060,15.6,No,863.44
Lenovo Laptop,New,Lenovo,Notebook,Intel Core i5,8,256,INTEL,14,No,1333
"Razer Blade 16 Doble Resolución UHD+/FHD+ Intel Core i9-13950HX/32GB/2TB SSD/RTX 4090/16""",New,Razer,Blade,Intel Core i9,32,2000,RTX 4090,16,No,4999.01
"Lenovo ThinkPad T14s Gen 2 Intel Evo Core i7-1165G7/16GB/512GB SSD/14""",Refurbished,Lenovo,ThinkPad,Intel Evo Core i7,16,512,,14,No,2204.98
DellInspiron 5570Full HD 1920x1080,New,Dell,Inspiron 5570,Intel Core i5,8GB,256GB SSD,AMD,15.6,No,853.2287
"HP OMEN 15-DC0005NS Intel Core i7-8750H/8GB/1TB/GTX 1050/15.6""",Refurbished,HP,Omen,Intel Core i7,8,1000,GTX 1050,15.6,No,784.69
"Lenovo ThinkPad X1 Nano Intel Core i7-1160G7/16GB/1TB SSD/13""",New,Lenovo,ThinkPad,Intel Core i7,16,1000,,13,No,1959.57
DellInspiron 7378IPS Panel Full HD / Touchscreen 1920x1080,New,Dell,Inspiron 7378,Intel Core i5,8GB,256GB SSD,INTEL,13.3,Yes,1282.93
"ASUS VivoBook F515EA-BQ3063 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i5,8,512,,15.6,No,505.01
"Razer Blade 15 Advanced Model QHD Intel Core i7-11800H/16GB/1TB SSD/RTX 3070/15.6""",Refurbished,Razer,Blade,Intel Core i7,16,1000,RTX 3070,15.6,No,1599.99
"Apple MacBook Intel Core i5/512GB/12"" Gris Espacial",Refurbished,Apple,Macbook,Intel Core i5,8,512,INTEL,12,No,684.65
AsusFX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForceFull HD 1920x1080,New,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7,8GB,1TB HDD,OTHER,15.6,No,1015.43
DellInspiron 5578Full HD / Touchscreen 1920x1080,New,Dell,Inspiron 5578,Intel Core i3,4GB,500GB HDD,INTEL,15,Yes,544.63
"MSI Katana GF66 12UC-873XES Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,Katana,Intel Core i5,16,512,RTX 3050,15.6,No,875.06
"Dell Vostro 3500 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Dell,Vostro,Intel Core i3,8,256,,15.6,No,930.16
"Lenovo V15 Gen 2 ALC AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 3,8,512,,15.6,No,399
"Thomson Neo Intel Core i5-8259U/8GB/512GB SSD/15.6""",New,Thomson,Neo,Intel Core i5,8,512,,15.6,No,399
LenovoThinkPad T4601366x768,New,Lenovo,ThinkPad T460,Intel Core i5,4GB,508GB Hybrid,INTEL,14,No,1072.14
"Asus VivoBook S433EA-AM423T Intel Core i5-1135G7/8GB/512GB SSD/14""",Refurbished,Asus,VivoBook,Intel Core i5,8,512,,14,No,699
"MSI Creator Pro Z17 A12UKST-203ES Intel Core i7-12700H/32GB/1TB SSD/RTX A3000/17"" Táctil",Refurbished,MSI,Creator,Intel Core i7,32,1000,RTX A3000,17,Yes,2049
HPProBook 450Full HD 1920x1080,New,HP,ProBook 450,Intel Core i5,8GB,256GB SSD,OTHER,15.6,No,940.53
AcerAspire 5IPS Panel Full HD 1920x1080,New,Acer,Aspire 5,Intel Core i3,4GB,1TB HDD,OTHER,17.3,No,700.85
"MSI Prestige 15 A11SCX-019XES Intel Core i7-1185G7/16GB/512GB SSD/GTX 1650/15.6""",Refurbished,MSI,Prestige,Intel Core i7,16,512,GTX 1650,15.6,No,1529
"MSI Creator Z16 HX Studio B13VETO-047XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4050/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,RTX 4050,16,Yes,2499
DellLatitude 5580Full HD 1920x1080,New,Dell,Latitude 5580,Intel Core i5,8GB,128GB SSD,INTEL,15.6,No,1011.15
"Gigabyte AORUS 15P KB-7ES1130SD Intel Core i7-10750/16GB/512GB SSD/RTX 2060/15.6""",Refurbished,Gigabyte,Aorus,Intel Core i7,16,512,RTX 2060,15.6,No,935.69
"HP ChromeBook 14b-na0013ns AMD Athlon Silver 3050C/4GB/64GB eMMC/14""",New,HP,Chromebook,AMD Athlon,4,64,,14,No,419
"Asus Rog Zephyrus M15 GU502LV-AZ057T Intel Core i7-10750H/16GB/512GB SSD/RTX2060/15.6""",Refurbished,Asus,ROG,Intel Core i7,16,512,RTX 2060,15.6,No,1067.29
LenovoIdeapad 700-15ISKIPS Panel Full HD 1920x1080,New,Lenovo,Ideapad 700-15ISK,Intel Core i5,4GB,1TB HDD,OTHER,15.6,No,1045.39
HPSpectre x360IPS Panel 4K Ultra HD / Touchscreen 3840x2160,New,HP,Spectre x360,Intel Core i7,16GB,1TB SSD,INTEL,13.3,Yes,2620.4300000000003
DellInspiron 5570Full HD 1920x1080,New,Dell,Inspiron 5570,Intel Core i7,8GB,256GB SSD,AMD,15.6,No,930.9
DellInsprion 57671600x900,New,Dell,Insprion 5767,Intel Core i3,4GB,1TB HDD,AMD,17.3,No,705.13
"Dell XPS 15 9520 Intel Core i7-12700H/32GB/1TB SSD/RTX3050 Ti/15.6"" Táctil",Refurbished,Dell,XPS,Intel Core i7,32,1000,RTX 3050,15.6,Yes,2118.09
DellVostro 35681366x768,New,Dell,Vostro 3568,Intel Core i3,4GB,1TB HDD,AMD,15.6,No,497.55
"MSI Pulse GL66 12UGSZOK-1204XES Intel Core i7-12700H/16GB/1TB SSD/RTX 3070Ti/15.6""",Refurbished,MSI,Pulse,Intel Core i7,16,1000,RTX 3070,15.6,No,2099
"MSI Creator 15 A10SF-018ES Intel Core i7-10875H/32GB/1TB SSD/RTX 2070/15.6"" 4K",Refurbished,MSI,Creator,Intel Core i7,32,1000,RTX 2070,15.6,No,1592.89
LenovoThinkpad T470Full HD 1920x1080,New,Lenovo,Thinkpad T470,Intel Core i5,8GB,180GB SSD,INTEL,14,No,1459.48
"Dynabook Toshiba Tecra A50-K-14S Intel Core i7-1260P/16GB/512GB SSD/15.6""",New,Dynabook Toshiba,Tecra,Intel Core i7,16,512,,15.6,No,1637
HPProbook 450Full HD 1920x1080,New,HP,Probook 450,Intel Core i5,4GB,500GB HDD,INTEL,15.6,No,973.7
PcCom Revolt 3050 Intel Core i7-13700H/16GB/1TB SSD/RTX 3050/15.6”,New,PcCom,Revolt,Intel Core i7,16,1000,RTX 3050,15.6,No,1449.9
HPEliteBook x360Full HD / Touchscreen 1920x1080,New,HP,EliteBook x360,Intel Core i7,8GB,256GB SSD,INTEL,13.3,Yes,2738.13
"MSI Creator Pro M15 A11UIS-846XES Intel Core i7-11800H/16GB/512GB SSD/RTX A1000/15.6""",Refurbished,MSI,Creator,Intel Core i7,16,512,RTX A1000,15.6,No,1399
AcerAspire 51366x768,New,Acer,Aspire 5,AMD A12,8GB,256GB SSD,AMD,15.6,No,705.13
LenovoIdeaPad 320-15IAP1366x768,New,Lenovo,IdeaPad 320-15IAP,Intel Celeron,4GB,1TB HDD,INTEL,15.6,No,327.42
"HP OMEN 16-b0046ns Intel Core i7-11800H/32GB/1TB SSD/RTX 3060/16.1""",Refurbished,HP,Omen,Intel Core i7,32,1000,RTX 3060,16.1,No,1198.64
"ASUS ROG Strix Scar 16 2023 G634JZ-N4004 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4080/16""",New,Asus,ROG,Intel Core i9,32,1000,RTX 4080,16,No,3099
DellXPS 13Quad HD+ / Touchscreen 3200x1800,New,Dell,XPS 13,Intel Core i7,16GB,512GB SSD,INTEL,13.3,Yes,2396.8
PcCom Revolt 4060 Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/15.6,New,PcCom,Revolt,Intel Core i7,16,1000,RTX 4060,15.6,No,1799.9
"MSI Alpha 15 A4DEK-006XES AMD Ryzen 7 4800H/16GB/512GB SSD/RX 5600M/15.6""",Refurbished,MSI,Alpha,AMD Ryzen 7,16,512,,15.6,No,711.94
"Acer Aspire 3 A315-34 Intel Celeron N4020/8 GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Celeron,8,256,INTEL,15.6,No,306.99
"HP 15s-fq4108ns i7-1195G7 Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,8,512,,15.6,No,630.72
Lenovo Legion 5 15ACH6-990 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3070/15.6'' (PT),Refurbished,Lenovo,Legion,AMD Ryzen 7,16,512,RTX 3070,15.6,No,1180.29
"Asus Chromebook C204MA-GJ0342 Intel Celeron N4020/4GB/32GB eMMC/11.6""",New,Asus,Chromebook,Intel Celeron,4,32,,11.6,No,239.25
"ASUS ROG Strix G15 G513RM-HQ262 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX 3060/15.6""",Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,RTX 3060,15.6,No,1299
Dell Laptop,New,Dell,Notebook,Intel Core i5,8,256,INTEL,14,No,1813
