Status,Brand,CPU,RAM,Storage,GPU,Screen,Touch,Price
Refurbished,hp,i7,8,512,intel,15.6,No,1254.05
New,dell,i5,8,1000,intel,13.3,Yes,694.4300000000001
New,hp,i5,16,512,nvdia,15.6,No,899.01
New,dell,i3,4,128,intel,15.6,No,585.2900000000001
New,asus,other,4,500,intel,15.6,No,394.83
New,msi,i7,16,512,intel,14.0,No,999.0
New,asus,i9,32,1000,nvdia,16.0,No,2459.01
New,hp,i3,8,256,intel,15.6,No,685.0
Refurbished,other,i7,32,1000,nvdia,15.6,No,1648.14
Refurbished,lenovo,ryzen 7,16,512,intel,14.0,No,1239.26
New,microsoft,i5,8,256,intel,13.5,Yes,1321.47
New,asus,i7,16,512,intel,13.3,Yes,1238.18
New,lenovo,i5,16,512,intel,14.0,No,1282.0
New,dell,i7,8,256,other,15.6,No,2284.4500000000003
New,toshiba,i7,8,512,intel,12.5,Yes,915.3
Refurbished,msi,i7,32,1000,nvdia,15.6,No,3699.0
New,toshiba,i3,8,256,intel,14.0,No,799.0
New,hp,i3,8,1000,intel,17.3,No,582.2405
New,msi,i9,32,1000,nvdia,16.0,No,2899.0
New,hp,other,8,256,intel,15.6,No,377.0
Refurbished,lenovo,i7,16,1000,intel,14.0,Yes,1599.0
Refurbished,hp,ryzen 7,16,1000,nvdia,15.6,No,863.44
New,lenovo,i5,8,256,intel,14.0,No,1333.0
New,other,i9,32,2000,nvdia,16.0,No,4999.01
Refurbished,lenovo,i7,16,512,intel,14.0,No,2204.98
New,dell,i5,8,256,amd,15.6,No,853.2287
Refurbished,hp,i7,8,1000,nvdia,15.6,No,784.69
New,lenovo,i7,16,1000,intel,13.0,No,1959.57
New,dell,i5,8,256,intel,13.3,Yes,1282.93
New,asus,i5,8,512,intel,15.6,No,505.01
Refurbished,other,i7,16,1000,nvdia,15.6,No,1599.99
Refurbished,apple,i5,8,512,intel,12.0,No,684.65
New,asus,i7,8,1000,other,15.6,No,1015.43
New,dell,i3,4,500,intel,15.0,Yes,544.63
New,msi,i5,16,512,nvdia,15.6,No,875.06
New,dell,i3,8,256,intel,15.6,No,930.16
New,lenovo,ryzen 3,8,512,intel,15.6,No,399.0
New,other,i5,8,512,intel,15.6,No,399.0
New,lenovo,i5,4,508,intel,14.0,No,1072.14
Refurbished,asus,i5,8,512,intel,14.0,No,699.0
Refurbished,msi,i7,32,1000,nvdia,17.0,Yes,2049.0
New,hp,i5,8,256,other,15.6,No,940.53
New,acer,i3,4,1000,other,17.3,No,700.85
Refurbished,msi,i7,16,512,nvdia,15.6,No,1529.0
New,msi,i7,32,1000,nvdia,16.0,Yes,2499.0
New,dell,i5,8,128,intel,15.6,No,1011.15
Refurbished,other,i7,16,512,nvdia,15.6,No,935.69
New,hp,other,4,64,intel,14.0,No,419.0
Refurbished,asus,i7,16,512,nvdia,15.6,No,1067.29
New,lenovo,i5,4,1000,other,15.6,No,1045.39
New,hp,i7,16,1000,intel,13.3,Yes,2620.4300000000003
New,dell,i7,8,256,amd,15.6,No,930.9
New,dell,i3,4,1000,amd,17.3,No,705.13
Refurbished,dell,i7,32,1000,nvdia,15.6,Yes,2118.09
New,dell,i3,4,1000,amd,15.6,No,497.55
Refurbished,msi,i7,16,1000,nvdia,15.6,No,2099.0
Refurbished,msi,i7,32,1000,nvdia,15.6,No,1592.89
New,lenovo,i5,8,180,intel,14.0,No,1459.48
New,other,i7,16,512,intel,15.6,No,1637.0
New,hp,i5,4,500,intel,15.6,No,973.7
New,other,i7,16,1000,nvdia,15.6,No,1449.9
New,hp,i7,8,256,intel,13.3,Yes,2738.13
Refurbished,msi,i7,16,512,nvdia,15.6,No,1399.0
New,acer,other,8,256,amd,15.6,No,705.13
New,lenovo,other,4,1000,intel,15.6,No,327.42
Refurbished,hp,i7,32,1000,nvdia,16.1,No,1198.64
New,asus,i9,32,1000,nvdia,16.0,No,3099.0
New,dell,i7,16,512,intel,13.3,Yes,2396.8
New,other,i7,16,1000,nvdia,15.6,No,1799.9
Refurbished,msi,ryzen 7,16,512,intel,15.6,No,711.94
New,acer,other,8,256,intel,15.6,No,306.99
New,hp,i7,8,512,intel,15.6,No,630.72
Refurbished,lenovo,ryzen 7,16,512,nvdia,15.6,No,1180.29
New,asus,other,4,32,intel,11.6,No,239.25
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,1299.0
New,dell,i5,8,256,intel,14.0,No,1813.0
New,hp,i7,6,1000,amd,15.6,No,817.48
New,hp,ryzen 5,4,1000,amd,15.6,No,523.23
New,lenovo,i5,8,1000,amd,15.6,No,640.9300000000001
New,lenovo,i7,16,512,intel,14.0,Yes,1473.83
New,lenovo,i5,8,1000,intel,15.6,No,910.2062
Refurbished,lenovo,i5,16,512,intel,14.0,No,1901.48
Refurbished,msi,i9,32,1000,nvdia,17.3,No,1999.0
New,lenovo,i7,4,128,intel,14.0,Yes,682.6600000000001
New,lenovo,other,4,256,intel,15.6,No,321.99
New,hp,ryzen 5,16,256,other,17.3,No,4696.2300000000005
New,asus,ryzen 7,16,512,nvdia,15.6,No,1454.12
Refurbished,microsoft,i5,8,256,intel,12.3,No,866.0
New,asus,i5,8,256,intel,15.6,No,609.0
New,asus,i7,8,512,intel,15.6,No,849.0
Refurbished,asus,i9,16,1000,intel,15.6,No,1248.59
Refurbished,hp,i5,8,256,intel,15.6,No,899.01
Refurbished,msi,i7,16,1000,nvdia,14.0,No,1124.79
New,lenovo,i5,8,256,intel,14.0,No,1904.0
New,asus,i7,16,512,intel,14.0,No,1189.0
Refurbished,other,i7,32,512,nvdia,15.6,No,1300.94
New,asus,other,4,64,intel,11.6,No,363.8
New,dell,i3,4,500,intel,14.0,No,625.95
New,lenovo,i7,16,512,nvdia,15.6,No,1599.0
New,hp,other,4,128,intel,15.6,No,395.4
New,lenovo,i7,8,512,intel,15.6,No,709.0
Refurbished,hp,i7,32,1000,nvdia,17.3,No,1297.04
New,hp,i5,8,512,intel,13.3,Yes,1051.96
New,other,i7,32,1000,nvdia,15.6,No,1899.9
New,msi,i5,8,128,other,15.6,No,1165.23
New,dell,other,4,500,intel,15.6,No,394.83
New,hp,i7,32,512,nvdia,16.0,No,3637.71
Refurbished,hp,i5,16,512,nvdia,16.1,No,624.78
Refurbished,msi,i7,32,1000,nvdia,15.6,No,2799.0
New,acer,i5,8,256,other,15.6,No,905.22
New,asus,i7,8,256,other,15.6,No,1123.3930000000005
New,lenovo,other,4,128,intel,11.6,Yes,451.0
New,lenovo,i3,4,1000,intel,15.6,No,480.43
Refurbished,asus,i9,32,1000,nvdia,17.3,No,1931.64
Refurbished,hp,i7,16,512,intel,15.6,No,1603.1
New,dell,i7,16,256,amd,15.6,No,1263.9589
New,samsung,i7,16,256,other,15.0,No,1978.43
New,lenovo,i7,16,512,nvdia,15.6,No,2260.99
New,hp,i5,8,128,other,17.3,No,1045.39
Refurbished,other,i7,16,1000,nvdia,15.6,No,1699.0
New,asus,i5,8,256,intel,14.0,Yes,1179.0
