Status,CPU,RAM,Storage,GPU,Screen,Price,apple,asus,dell,hp,lenovo,microsoft,msi,other,samsung,toshiba
1,3,2,3,1.0,15.6,1254.05,0,0,0,1,0,0,0,0,0,0
0,2,2,4,1.0,13.3,694.4300000000001,0,0,1,0,0,0,0,0,0,0
0,2,3,3,2.0,15.6,899.01,0,0,0,1,0,0,0,0,0,0
0,1,1,2,1.0,15.6,585.2900000000001,0,0,1,0,0,0,0,0,0,0
0,0,1,3,1.0,15.6,394.83,0,1,0,0,0,0,0,0,0,0
0,3,3,3,1.0,14.0,999.0,0,0,0,0,0,0,1,0,0,0
0,5,4,4,2.0,16.0,2459.01,0,1,0,0,0,0,0,0,0,0
0,1,2,3,1.0,15.6,685.0,0,0,0,1,0,0,0,0,0,0
1,3,4,4,2.0,15.6,1648.14,0,0,0,0,0,0,0,1,0,0
1,3,3,3,1.0,14.0,1239.26,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,13.5,1321.47,0,0,0,0,0,1,0,0,0,0
0,3,3,3,1.0,13.3,1238.18,0,1,0,0,0,0,0,0,0,0
0,2,3,3,1.0,14.0,1282.0,0,0,0,0,1,0,0,0,0,0
0,3,2,3,0.0,15.6,2284.4500000000003,0,0,1,0,0,0,0,0,0,0
0,3,2,3,1.0,12.5,915.3,0,0,0,0,0,0,0,0,0,1
1,3,4,4,2.0,15.6,3699.0,0,0,0,0,0,0,1,0,0,0
0,1,2,3,1.0,14.0,799.0,0,0,0,0,0,0,0,0,0,1
0,1,2,4,1.0,17.3,582.2405,0,0,0,1,0,0,0,0,0,0
0,5,4,4,2.0,16.0,2899.0,0,0,0,0,0,0,1,0,0,0
0,0,2,3,1.0,15.6,377.0,0,0,0,1,0,0,0,0,0,0
1,3,3,4,1.0,14.0,1599.0,0,0,0,0,1,0,0,0,0,0
1,3,3,4,2.0,15.6,863.44,0,0,0,1,0,0,0,0,0,0
0,2,2,3,1.0,14.0,1333.0,0,0,0,0,1,0,0,0,0,0
0,5,4,5,2.0,16.0,4999.01,0,0,0,0,0,0,0,1,0,0
1,3,3,3,1.0,14.0,2204.98,0,0,0,0,1,0,0,0,0,0
0,2,2,3,3.0,15.6,853.2287,0,0,1,0,0,0,0,0,0,0
1,3,2,4,2.0,15.6,784.69,0,0,0,1,0,0,0,0,0,0
0,3,3,4,1.0,13.0,1959.57,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,13.3,1282.93,0,0,1,0,0,0,0,0,0,0
0,2,2,3,1.0,15.6,505.01,0,1,0,0,0,0,0,0,0,0
1,3,3,4,2.0,15.6,1599.99,0,0,0,0,0,0,0,1,0,0
1,2,2,3,1.0,12.0,684.65,1,0,0,0,0,0,0,0,0,0
0,3,2,4,0.0,15.6,1015.43,0,1,0,0,0,0,0,0,0,0
0,1,1,3,1.0,15.0,544.63,0,0,1,0,0,0,0,0,0,0
0,2,3,3,2.0,15.6,875.06,0,0,0,0,0,0,1,0,0,0
0,1,2,3,1.0,15.6,930.16,0,0,1,0,0,0,0,0,0,0
0,1,2,3,1.0,15.6,399.0,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,15.6,399.0,0,0,0,0,0,0,0,1,0,0
0,2,1,3,1.0,14.0,1072.14,0,0,0,0,1,0,0,0,0,0
1,2,2,3,1.0,14.0,699.0,0,1,0,0,0,0,0,0,0,0
1,3,4,4,2.0,17.0,2049.0,0,0,0,0,0,0,1,0,0,0
0,2,2,3,0.0,15.6,940.53,0,0,0,1,0,0,0,0,0,0
0,1,1,4,0.0,17.3,700.85,0,0,0,0,0,0,0,0,0,0
1,3,3,3,2.0,15.6,1529.0,0,0,0,0,0,0,1,0,0,0
0,3,4,4,2.0,16.0,2499.0,0,0,0,0,0,0,1,0,0,0
0,2,2,2,1.0,15.6,1011.15,0,0,1,0,0,0,0,0,0,0
1,3,3,3,2.0,15.6,935.69,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1.0,14.0,419.0,0,0,0,1,0,0,0,0,0,0
1,3,3,3,2.0,15.6,1067.29,0,1,0,0,0,0,0,0,0,0
0,2,1,4,0.0,15.6,1045.39,0,0,0,0,1,0,0,0,0,0
0,3,3,4,1.0,13.3,2620.4300000000003,0,0,0,1,0,0,0,0,0,0
0,3,2,3,3.0,15.6,930.9,0,0,1,0,0,0,0,0,0,0
0,1,1,4,3.0,17.3,705.13,0,0,1,0,0,0,0,0,0,0
1,3,4,4,2.0,15.6,2118.09,0,0,1,0,0,0,0,0,0,0
0,1,1,4,3.0,15.6,497.55,0,0,1,0,0,0,0,0,0,0
1,3,3,4,2.0,15.6,2099.0,0,0,0,0,0,0,1,0,0,0
1,3,4,4,2.0,15.6,1592.89,0,0,0,0,0,0,1,0,0,0
